Umsatzanzeige;;;;;;;;;;;;
;;;;;;;;;;;;
BLZ:;20191000;;Datum:;10.01.2019;;;;;;;;
Konto:;19400420;;Uhrzeit:;09:27:20;;;;;;;;
Abfrage von:;Vorname Nachname;;Kontoinhaber:;Fuﬂball-Club St. Pauli;;;;;;;;
;;;;;;;;;;;;
Zeitraum:;Alle Ums‰tze;von:;;bis:;;;;;;;;
Betrag in EUR:;;von:; ;bis:; ;;;;;;;
Sortiert nach:;Buchungstag;absteigend;;;;;;;;;;
;;;;;;;;;;;;
Buchungstag;Valuta;Auftraggeber/Zahlungsempf‰nger;Empf‰nger/Zahlungspflichtiger;Konto-Nr.;IBAN;BLZ;BIC;Vorgang/Verwendungszweck;Kundenreferenz;W‰hrung;Umsatz;
15.02.2019;15.02.2019;FC St. Pauli Marathon;Sven Schmidt;;DE00000000000000000000;;GENODEF1HH2;"‹berweisungsgutschr.
LGR-JHPQB Christoph Schmidt IBAN: DE
00000000000000000000 BIC: C
OBADEHD001";;EUR;20;H
15.02.2019;15.02.2019;FC St. Pauli Marathon;Sven Schmidt;;DE00000000000000000000;;GENODEF1HH2;"‹berweisungsgutschr.
TOWMW Sabine Schneider IBAN:
DE00000000000000000000 BIC:
COBADEHD001";;EUR;10;H
15.02.2019;15.02.2019;FC St. Pauli Marathon;Sven Schmidt;;DE00000000000000000000;;GENODEF1HH2;"‹berweisungsgutschr.
LGR-YMTGE Sven Schmidt IBAN: DE2
DE26200411330264475500
0000000000000000000 BIC: CO
BADEHD001";;EUR;20;H
15.02.2019;15.02.2019;FC St. Pauli Marathon;Irgendwer Mueller / 20057 Hamburg-St. Pauli;;DE00000000000000000000;;GENODEF1HH2;"‹berweisungsgutschr.
LGR-RKMBD Startnummer: 439 IBAN
: DE00000000000000000000 BI
C: VOWADE2B";;EUR;20;H
14.02.2019;14.02.2019;FC St. Pauli Marathon;Wolfgang Meyer;;DE00000000000000000000;;GENODEF1HH2;"‹berweisungsgutschr.
LGR-RZFXU IBAN: DE0000000000000000
0000 BIC: CSDBDE71";;EUR;20;H
